X,Y,radius,side1,side2
0,0,0,2525.456,2540.606
-0.0001,48.3333,48.3333,2499.549,2509.487
-34.1769,34.1766,48.33322337,2502.969,2516.254
-48.3333,-0.0001,48.3333,2512.838,2519.896
-34.1766,-34.1769,48.33322337,2522.193,2524.88
0.0001,-48.3333,48.3333,2516.488,2518.249
34.1769,-34.1766,48.33322337,2502.04,2503.517
48.3333,0.0001,48.3333,2505.957,2508.658
34.1766,34.1769,48.33322337,2505.308,2510.065
-0.0003,96.6667,96.6667,2507.92,2485.698
-36.9931,89.3083,96.66675694,2508.096,2487.758
-68.3539,68.3534,96.66665887,2510.618,2492.504
-89.3085,36.9924,96.66667383,2515.244,2498.616
-96.6667,-0.0004,96.6667,2519.89,2505.348
-89.3083,-36.9931,96.66675694,2521.665,2507.986
-68.3534,-68.3539,96.66665887,2522.077,2516.822
-36.9924,-89.3085,96.66667383,2525.423,2517.401
0.0004,-96.6667,96.6667,2523.527,2517.815
36.9931,-89.3083,96.66675694,2510.209,2506.098
68.354,-68.3534,96.66672958,2504.921,2487.818
89.3085,-36.9924,96.66667383,2506.325,2493.976
96.6667,0.0004,96.6667,2507.64,2499.191
89.3083,36.9931,96.66675694,2508.099,2502.138
68.3533,68.354,96.66665887,2511.847,2500.016
36.9924,89.3085,96.66667383,2507.419,2489.688
-0.0006,145,145,2496.79,2485.739
-37.5293,140.0591,144.9999995,2474.438,2487.736
-72.5004,125.5735,145.000041,2508.249,2481.767
-102.5308,102.5301,144.9999529,2505.906,2481.459
-125.5739,72.4996,144.9999875,2509.558,2476.576
-140.0594,37.5282,145.0000046,2516.126,2477.478
-145,-0.0006,145,2512.927,2471.88
-140.0591,-37.5293,144.9999995,2488.007,2468.934
-125.5733,-72.5004,144.9998678,2492.292,2497.144
-102.5301,-102.5309,145.0000237,2491.941,2485.531
-72.4994,-125.5739,144.9998875,2490.766,2492.168
-37.5282,-140.0594,145.0000046,2488.323,2520.271
0.0006,-145,145,2488.904,2514.295
37.5293,-140.0591,144.9999995,2489.775,2514.829
72.5006,-125.5733,144.9999678,2484.531,2508.642
102.5309,-102.5301,145.0000237,2471.275,2497.088
125.5741,-72.4994,145.0000607,2469.189,2489.919
140.0594,-37.5282,145.0000046,2472.479,2483.611
145,0.0006,145,2468.205,2481.48
140.0591,37.5293,144.9999995,2470.491,2484.758
125.5733,72.5006,144.9999678,2480.905,2490.494
102.5301,102.5309,145.0000237,2491.805,2500.095
72.4994,125.5741,145.0000607,2494.572,2499.76
37.5282,140.0594,145.0000046,2492.558,2491.314
